Time_s,Gen_AC_V,Inv_AC_V,Inv_AC_A,Inv_AC_W,Bat_DC_V,MPPT_DC_A,MPPT_DC_W,Bat_SoC_Pct,Bat_Energy_Wh,Inv_DC_A,Inv_DC_W,Inv_Efficiency_Pct,Rotor_RPM,Temp_Gen_C,Temp_Box_C,Temp_ESP_C
67.0,100.7,129.5,0.08,9.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
68.0,103.6,136.0,0.09,9.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
69.0,183.0,241.9,0.13,26.3,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
70.0,110.6,143.6,0.09,10.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
71.0,151.5,201.3,0.11,19.1,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
72.0,151.2,196.7,0.11,18.0,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
73.0,64.1,82.3,0.06,4.4,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
74.0,189.7,251.8,0.13,28.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
75.0,91.5,115.4,0.08,7.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
76.0,124.6,164.2,0.10,13.5,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
77.0,160.7,208.8,0.11,20.1,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
78.0,78.7,98.7,0.07,6.1,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
79.0,182.0,240.3,0.13,26.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
80.0,92.7,116.7,0.08,8.0,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
81.0,102.8,135.7,0.09,10.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
82.0,172.8,228.1,0.12,23.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
83.0,98.0,121.9,0.08,7.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
84.0,195.8,258.6,0.13,28.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
85.0,113.3,144.2,0.08,10.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
86.0,135.3,176.4,0.09,14.1,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
87.0,183.0,239.3,0.12,24.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
88.0,98.3,124.2,0.07,7.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
89.0,194.1,256.3,0.13,27.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
90.0,117.9,151.8,0.09,11.4,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
91.0,132.4,173.1,0.09,13.4,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
92.0,184.4,243.2,0.13,25.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
93.0,88.3,112.8,0.07,6.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
94.0,179.1,239.6,0.12,24.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
